,id_bloco,quant_talhoes,area_bloco,safra,mes_colheita,tch_bloco,NDVI_1Q,NDVI_2Q,NDVI_3Q,NDVI_4Q
0,1238,2,2.7800000000000002,2015,11.0,85.79,1.8396561722138096,2.181274034623521,1.986483717700335,1.4279275829302598
1,1239,3,27.57,2015,10.0,75.88,1.8641764345013514,2.1888161093291902,2.112769381306306,1.2487603956063908
2,1240,6,27.740000000000002,2015,10.0,98.07,1.661458065348533,2.0513683834964596,1.8372960823438258,1.3955603531093406
3,1243,7,49.879999999999995,2015,7.0,65.22,1.8431649285278247,1.8480781245518996,1.238399244301625,1.2948634195087882
4,1244,8,43.39,2015,5.0,96.91,1.610771742902442,1.6780438357716991,1.3533787224536544,1.3166116932411953
5,1247,3,27.769999999999996,2015,8.0,106.43,1.9166431216694306,2.16069748945363,1.9418063141920523,1.5816615796117017
6,1248,1,9.92,2015,11.0,98.53,1.8350563254115615,2.0841457307191904,1.9578053989435769,1.816860340271931
7,1251,2,17.6,2015,8.0,78.65,1.8880077928926529,2.166785759699647,1.6649679386454572,1.4161527122253195
8,1252,4,65.86,2015,6.0,106.18,2.0137219311500125,2.2407401070942834,1.31949453768409,1.5452498031891087
9,1256,10,30.6,2015,10.0,45.45,1.4746690663947875,1.8793909716680766,1.659291934277481,1.2145678913226312
10,1257,8,24.830000000000002,2015,4.0,172.28,1.8294856707829286,1.5267727220924412,1.390748004103847,1.4152608592945288
11,1262,1,16.55,2015,8.0,80.06,1.7597732934071904,2.061185096234001,1.7552574974206363,1.0499169149909167
12,1264,11,149.95000000000002,2015,4.0,86.48,2.085833293493396,1.5886319187160762,1.2708563207476093,1.1980023447477364
13,1265,2,16.97,2015,11.0,161.57,1.8235665319973204,1.9556533261726181,1.9488673117462065,1.6671416564857924
14,1266,4,40.34,2015,7.0,88.23,1.9827269128607474,2.0234585934434635,1.3093722139428028,0.8967497486412912
15,1269,2,25.830000000000002,2015,5.0,66.29,1.9816701250823776,1.7919336726801713,1.1987534705211862,1.015834441089418
16,1270,1,8.4,2015,5.0,72.84,1.9129944622620036,1.5930623193591482,1.0186596516105861,1.431900258516686
17,1271,2,16.71,2015,8.0,73.16,1.8581594115609994,1.9666950138291737,1.4372738819079074,1.2102707770244325
18,1272,11,138.61999999999998,2015,4.0,117.36,1.9617387953513883,1.847622039217145,1.5075342888391918,1.3943226467181775
19,1273,2,30.450000000000003,2015,5.0,112.04,1.95861980097976,1.7132635407742804,1.2097069197878683,1.3539280738272486
20,1274,3,6.68,2015,9.0,42.44,1.7326796421853219,2.021092281338833,1.5498823458339255,1.206681772892694
21,1275,17,226.54000000000002,2015,5.0,120.81,2.2330957477831257,1.8290774505004994,1.2186108326928067,1.312916952599554
22,1276,1,2.94,2015,11.0,124.82,1.631837825477123,2.2034496759706075,1.9125906477062387,1.3960506637561627
23,1277,6,35.68,2015,11.0,35.77,1.6743979084256606,1.838376320599071,2.010108400740067,1.3105464703939298
24,1278,1,7.74,2015,11.0,33.6,1.6282173685624588,1.7496868089854722,1.9744853477745417,1.273077953265633
25,1291,3,22.79,2015,10.0,59.29,1.7602200718617773,1.8811505444586714,1.885948158048989,1.5989522064276303
26,1293,1,9.02,2015,10.0,28.32,1.7151521825909972,1.4266735552599206,1.56895716240484,1.2888650799727661
27,1294,3,30.810000000000002,2015,10.0,45.5,1.9066035990066914,2.0490198805095776,1.9864488000117841,1.3876862719672514
28,1295,5,31.770000000000003,2015,10.0,49.82,1.6930971653337954,1.8374131915259957,1.7201464235981994,1.4063213137341934
29,1296,5,19.73,2015,10.0,40.94,1.7431494699035925,2.0545126549273878,2.0398713547031737,1.3338749957333698
30,1300,7,24.22,2015,11.0,49.48,1.642426286225688,1.9776101193668691,2.050917230717631,1.4204497536751683
31,1301,13,80.84,2015,10.0,43.25,1.83705149339827,2.0017859935891824,1.735192848723203,1.3901680741076514
32,1302,2,14.45,2015,10.0,44.59,1.7219526836913666,1.9465385732856997,1.8895595900556015,1.4542746810089282
33,1308,3,20.73,2015,10.0,153.6,2.1389701175567035,2.0218626051489212,1.745804422347149,1.5666626510947763
34,1309,2,1.69,2015,10.0,118.71,1.816866904132433,2.1223566632170776,1.8110903022165206,1.4524016536563844
35,1310,2,18.18,2015,9.0,94.58,1.7709480414224152,2.1807437468087363,2.1068101638280607,1.1458562396618206
36,1311,7,75.64,2015,11.0,88.5,1.796346565859687,2.0221658631263484,1.8844434979153348,1.3105785462092612
37,1312,8,118.82,2015,10.0,54.78,1.942553509216049,1.7133722931789752,1.5860152793907965,1.641207725338045
38,1338,5,47.56,2015,8.0,25.27,1.83730294402002,1.6078881351367875,1.2785117583815453,1.1948457265209451
39,1341,11,143.52,2015,8.0,23.8,1.3251857692819033,1.6235273999996358,1.6681738289461823,1.0509231295519417
40,1344,1,3.81,2015,8.0,29.44,1.7171636794774006,1.5343159110053604,1.2858882516643524,0.9852584675768533
41,1345,2,22.84,2015,11.0,63.38,1.4664595483238787,1.919900492304441,2.0530973053652364,1.324098404245759
42,1346,7,59.18,2015,7.0,83.29,1.9252810371001212,2.168856310724597,1.5154357443103414,1.100473864650713
43,1347,8,134.9633333333333,2015,6.0,92.24,1.9335434146977908,1.993635195545417,1.3817937184346214,1.440573809925547
44,1348,6,57.71,2015,6.0,92.87,2.0661975018896213,2.159374452396555,1.309521256672562,1.116384942780902
45,1349,17,181.63000000000005,2015,6.0,85.1,2.209473240835955,1.974110670851521,1.2181815694107871,1.1021981474512355
46,1350,9,70.39,2015,11.0,57.0,1.4768342804638532,1.9197285316466859,1.9407453606322826,1.2909316510448265
47,1353,2,10.799999999999999,2015,11.0,66.19,1.4302647151052952,1.7837034593734056,2.0596950199381716,1.3582789011787615
48,1356,5,13.790000000000001,2015,7.0,45.9,1.9505468404855044,1.7284574218312567,1.460058031477687,1.1470951061938381
49,1357,2,21.17,2015,6.0,104.28,1.9800082276286943,2.0671877900987985,1.3892485213553296,1.4998167019914348
50,1360,8,17.43,2015,7.0,55.51,1.8983331906712495,2.021933914133127,1.5768554387312976,1.0605998203449452
51,1361,12,118.76,2015,7.0,69.56,2.1009310461290847,1.9564247129088432,1.5307263477935134,1.0760523063400071
52,1364,9,112.18,2015,7.0,70.53,1.7855005825082206,2.0836803573218976,1.5736953953672028,1.0363859161866031
53,1365,8,73.76,2015,7.0,67.09,1.9928670626272909,2.0376850563747504,1.423632230996136,1.0732595387274086
