,on_demand,seniority,order_size,found_rate,picking_speed,accepted_rate,rating,distance_km,total_minutes
0,1,1,19,0.9024,1.3,0.92,4.76,1.8184071360237384,67.68426395
1,1,1,34,0.9024,1.3,0.92,4.76,0.961884801660994,160.336210916667
4,0,4,29,0.8138,1.89,0.84,4.68,3.316783115827573,94.7344794666667
5,0,1,10,0.8456,1.93,0.96,4.8,2.704810173070339,74.5322560833333
6,0,1,7,0.8456,1.93,0.96,4.8,2.8317556931199257,91.1928124333333
7,1,4,41,0.8813,1.0,0.84,4.72,1.0900374893159424,91.3927571
8,1,1,32,0.867,1.33,0.96,4.84,1.9311410293378928,55.9144366333333
9,1,3,26,0.8671,2.5,1.0,5.0,1.5109808851616913,112.457474016667
10,0,1,9,0.8761,1.5,0.92,5.0,2.588974074426291,76.7102264333333
12,0,4,25,0.8205,1.58,0.8,4.92,1.1617690285896332,70.2145618166667
13,0,1,61,0.8447,1.41,0.88,4.92,0.6660497408167557,150.643085383333
14,0,1,10,0.8707,1.31,0.96,4.68,2.521286535174047,110.394378333333
15,0,1,31,0.8885,0.91,0.96,4.84,4.002886132212674,96.8696819833333
17,0,4,42,0.8596,1.68,0.8,4.84,1.7883592706495068,87.7623092333333
18,0,1,51,0.7984,1.62,0.92,4.84,1.6872455384437723,111.9105756
19,0,1,56,0.8869,0.93,0.96,5.0,3.4583501503344607,105.2255549
20,0,3,24,0.8506,0.95,1.0,4.88,2.802508432468874,70.4026137333333
22,0,1,15,0.839,1.7,0.92,4.92,0.7570456640167486,99.9107554333333
23,0,1,33,0.8199,1.75,0.88,4.88,1.0219164116832116,128.908248133333
24,0,4,23,0.8578,2.37,0.84,4.92,1.7587310699910002,88.3494798333333
25,0,1,6,0.8544,0.83,0.96,5.0,1.6350363639406178,98.1614682
26,0,1,26,0.8523,1.17,0.96,4.96,1.643390969910753,58.1904201833333
27,1,1,19,0.8523,1.17,0.96,4.96,3.81639737591758,91.09665515
28,1,3,29,0.8416,3.07,0.769230769230769,5.0,1.51565854644902,72.8911097666667
29,0,1,56,0.8903,1.29,0.96,4.92,2.539330885903438,139.862936883333
30,1,1,31,0.9007,1.26,0.88,4.92,2.3870828421605457,91.13844335
31,0,1,21,0.8852,1.21,1.0,4.76,2.539330885903438,60.1161253333333
32,0,1,29,0.8852,1.21,1.0,4.76,2.738717722360879,127.676339633333
33,0,4,61,0.8884,1.2,0.8,4.92,1.003606326461231,112.121515433333
34,1,1,26,0.874,1.72,0.96,4.96,2.992749479315401,77.3890979333333
36,0,1,35,0.9053,0.73,0.88,4.92,0.6980494068064433,92.03688055
37,0,1,12,0.8885,1.22,0.88,4.72,1.6350363639406178,44.7526900833333
38,0,3,7,0.8366,1.94,1.0,4.88,3.6267750957235023,85.6641190833333
39,0,3,17,0.8366,1.94,1.0,4.88,3.99619511004582,93.2488904666667
40,0,1,20,0.8652,1.53,0.92,4.8,3.821266077853249,64.6187889833333
43,1,1,27,0.8706,1.35,1.0,4.96,2.030121530541786,66.9055496666667
44,0,4,4,0.8725,1.17,0.8,4.76,1.1921341472001716,52.9233769666667
45,0,1,33,0.8496,1.69,1.0,4.96,0.9145851188805596,163.733717033333
46,1,1,8,0.8496,1.69,1.0,4.96,2.688539678444906,45.38164895
47,1,1,15,0.8496,1.69,1.0,4.96,3.724090455013192,68.7333797833333
48,0,4,38,0.8315,1.58,0.84,4.84,2.98700680448326,138.5141981
49,0,1,22,0.8322,1.26,0.92,4.96,0.3801903565452411,104.492164816667
50,0,4,22,0.8459,1.0,0.84,4.6,2.1708074469916747,71.3391056166667
51,1,1,11,0.9066,1.22,1.0,4.84,2.614141283535929,44.7478288
52,0,1,18,0.8709,1.6,0.92,4.88,0.5820185228798666,92.5396793
53,0,1,56,0.8748,0.84,0.96,4.92,2.5372137502047005,148.320121216667
54,0,1,37,0.8521,2.0,0.92,4.92,2.343306933519842,126.5161173
55,0,1,3,0.8509,1.55,0.88,4.96,3.099120966179388,113.275893416667
56,0,1,17,0.8509,1.55,0.88,4.96,2.753640066910643,114.645336166667
57,0,4,9,0.8477,2.18,0.8,4.8,1.7186585877101823,100.090630483333
58,0,1,53,0.8421,1.49,0.92,4.96,1.7918254278211458,150.689210266667
59,1,1,16,0.8486,1.2,0.92,4.64,1.6815441790783645,97.27508805
60,0,4,14,0.821,1.44,0.68,4.92,1.3397337539644223,121.098419883333
61,0,1,12,0.8494,1.73,1.0,4.56,2.422001008949294,84.8244139
63,0,3,45,0.8205,2.5,0.933333333333333,4.83,1.5351628765709986,132.703818783333
64,1,2,12,0.8633177727784027,2.19,0.888888888888889,4.849341890790547,1.5109808851528612,109.113885166667
67,0,4,11,0.7838,2.4,0.96,4.96,3.6415081896149033,78.32347345
68,0,1,30,0.8713,1.31,0.88,4.96,2.880720685194087,69.4163653
69,0,1,47,0.819,1.27,1.0,4.72,3.646930247034206,119.068160566667
70,0,1,15,0.819,1.27,1.0,4.72,0.4819197786529594,61.3229276666667
71,1,1,23,0.8755,1.0,1.0,4.92,4.287302959271925,96.9844811666667
72,0,1,7,0.8856,1.27,0.92,4.8,3.350407739550169,60.9770266
73,1,1,26,0.8201,1.65,1.0,4.92,4.287302959271925,89.7374515166667
74,0,1,17,0.8475,1.5,0.92,4.96,3.691908381495167,46.1981595166667
75,1,3,31,0.8593,2.59,0.92,4.76,3.144275022826009,126.663068916667
76,0,3,23,0.8593,2.59,0.92,4.76,3.3202194689033058,91.6204545
77,1,1,16,0.8876,0.83,0.92,4.92,3.696018614303725,68.59701975
78,1,1,43,0.8876,0.83,0.92,4.92,2.8883068016237803,81.70948
79,0,1,13,0.8487,1.88,0.96,4.68,3.7002827723602967,82.5244026
80,0,1,16,0.8487,1.88,0.96,4.68,1.1417284595629962,51.7222741833333
81,0,1,61,0.8692,1.44,1.0,4.84,2.6222705405662303,131.6674538
82,0,1,50,0.8692,1.44,1.0,4.84,3.0864677716379987,115.57736055
83,0,1,44,0.871,0.95,0.92,4.96,3.274927219991963,105.3749113
84,0,4,11,0.8949,2.4,0.72,5.0,3.247944792508564,62.955821
85,0,4,1,0.8185,2.8,0.88,4.88,3.08472219707614,47.9973233333333
86,0,1,16,0.9213,1.28,1.0,4.69,3.3502970565895884,72.5102357333333
87,1,1,39,0.8853,1.53,1.0,4.72,3.995135480072079,104.963329066667
88,0,1,35,0.8654,1.82,1.0,4.92,3.178855514890665,107.418802316667
89,1,4,15,0.8218,1.64,1.0,4.72,3.1279389938816062,51.1089059166667
90,1,1,23,0.8727,1.18,0.96,4.56,2.9773484692090344,88.2343164666667
91,0,1,10,0.8704,1.28,0.92,4.76,1.7340734800003743,51.7389727333333
92,0,1,64,0.8704,1.28,0.92,4.76,1.5558336809943134,95.61706185
93,0,1,49,0.8704,1.28,0.92,4.76,2.083023023489488,71.8559502666667
94,0,1,40,0.8704,1.28,0.92,4.76,3.700125967587208,92.6419335833333
95,0,1,23,0.8818,1.74,1.0,4.68,3.5210830636019548,69.9201776333333
96,0,3,31,0.8537,1.27,1.0,4.92,3.4411486959493747,86.5012723333333
97,0,1,29,0.8758,1.0,0.92,4.92,1.8018043513260376,101.136258566667
98,0,1,1,0.8804,1.5,1.0,4.72,0.5303520064342461,65.9340779666667
99,0,1,16,0.8804,1.5,1.0,4.72,1.046940101273896,78.1037420666667
100,1,3,27,0.8186,2.03,1.0,4.88,3.5831926565832277,120.586100366667
101,0,4,44,0.8468,1.7,0.92,4.92,2.250095739372614,97.2314131833333
102,0,1,13,0.8657,1.36,0.96,5.0,3.523187569605995,73.1848943666667
103,1,4,18,0.8916,2.23,0.76,4.84,4.153540832502229,59.5912025
104,0,3,26,0.8111,1.72,0.96,4.76,1.046940101273896,124.696798816667
105,0,3,15,0.8111,1.72,0.96,4.76,1.1266603207661496,130.523747266667
106,1,3,1,0.8892,2.58,0.92,4.96,2.672873783893921,101.602092583333
107,0,3,22,0.8617,2.88,1.0,4.8,4.232891921613193,90.7145601666667
108,0,1,27,0.9114,1.27,0.92,5.0,0.1157599231054715,61.3997066833333
109,0,1,22,0.9114,1.27,0.92,5.0,3.2991506727445734,70.1373816
110,1,1,9,0.9114,1.27,0.92,5.0,1.694237983507045,33.11672475
112,0,1,11,0.865,1.26,0.96,4.76,2.7503234236377807,74.5476355833333
113,0,1,25,0.82,2.0,0.88,4.96,3.4470398532698967,117.847332883333
115,0,1,21,0.8746,0.87,1.0,4.96,3.662383937850835,75.3232158166667
116,0,4,7,0.8222,2.47,0.8,4.96,3.4349354269693504,78.26934345
117,0,4,35,0.8222,2.47,0.8,4.96,3.7363494389228618,143.579826983333
118,0,4,10,0.8138,1.89,0.84,4.68,2.924912942470667,69.6981048166667
119,0,1,27,0.9038,0.81,1.0,4.96,4.306826253807241,63.0944834666667
120,0,1,29,0.8721,1.19,0.92,4.96,1.287845229458099,133.82853525
121,0,1,12,0.8721,1.19,0.92,4.96,1.0137165708141995,109.189112916667
122,0,3,8,0.7875,1.88,1.0,4.72,1.4244504163109524,54.2101966333333
123,0,1,12,0.8647,1.35,0.88,4.84,2.404814070618209,55.1742081666667
124,0,1,19,0.8421,2.0,1.0,4.96,1.3564808586210886,68.8434520666667
126,0,1,34,0.8634,1.24,1.0,4.8,3.4579781509870835,92.5094056333333
127,0,3,4,0.8509,2.33,1.0,4.76,1.0469990999383498,64.5975944666667
128,0,4,39,0.8582,2.0,0.8,4.6,1.2981871104941012,93.8169217166667
129,1,4,15,0.8506,1.62,0.84,4.92,1.113220782816288,100.9746857
130,1,4,11,0.8506,1.62,0.84,4.92,1.4341761137374975,57.1827972833333
131,0,1,24,0.8712,1.45,1.0,4.92,3.2097476496631168,121.73418775
134,1,1,13,0.867,1.33,0.96,4.84,2.2884064684971337,33.1016356666667
135,0,1,24,0.867,1.33,0.96,4.84,0.3520775309083835,73.60772115
136,0,1,31,0.867,1.33,0.96,4.84,1.7560742350711434,77.5169365833333
137,1,1,10,0.841,1.82,1.0,4.84,3.948998748171285,82.6301328166667
138,1,1,35,0.9035,0.97,1.0,4.84,3.3469821166287934,91.0328391166667
139,0,4,45,0.824,1.89,0.84,4.76,3.648627569326377,87.6964015166667
140,0,1,23,0.8345,1.78,0.88,4.92,0.9111356876935348,87.9104739333333
