,order_id,store_branch_id,distance_km,shopper_id,on_demand,seniority,order_size,found_rate,picking_speed,accepted_rate,rating,total_minutes
0,e750294655c2c7c34d83cc3181c09de4,65ded5353c5ee48d0b7d48c591b8f430,1.8184071360237384,e63bc83a1a952fa2b3cc9d558fb943cf,True,I,19,0.9024,1.3,0.92,4.76,67.68426395
1,3bb5d9adb3ecac1925b60d5d26a510c4,65ded5353c5ee48d0b7d48c591b8f430,0.9618848016609941,e63bc83a1a952fa2b3cc9d558fb943cf,True,I,34,0.9024,1.3,0.92,4.76,160.336210916667
2,b838eea64cf24dde0a78ce1feb84ca7c,65ded5353c5ee48d0b7d48c591b8f430,1.653246232319028,cb5ef07d15fb3981eeb6e0011bc80163,False,I,72,0.8909,1.17,0.96,5.0,122.239210083333
3,2c85303190a77493348b0b827232f4d6,65ded5353c5ee48d0b7d48c591b8f430,0.6958470986227304,ca54a789a8dc54742710490e25df9844,False,I,80,0.8462,1.11,0.96,4.96,133.11392575
4,e606cc26b843c312df82a29d1f8d4372,65ded5353c5ee48d0b7d48c591b8f430,3.316783115827573,362e274d254be8fae76396b8f10a7fd5,False,M,29,0.8138,1.89,0.84,4.68,94.7344794666667
5,e02f05a79d827416af6263abb6e25c58,65ded5353c5ee48d0b7d48c591b8f430,2.704810173070339,367c12c015d66caea6b252c28bc87d86,False,I,10,0.8456,1.93,0.96,4.8,74.5322560833333
6,e45e668951c8c066ab501d48f06e9483,65ded5353c5ee48d0b7d48c591b8f430,2.8317556931199257,367c12c015d66caea6b252c28bc87d86,False,I,7,0.8456,1.93,0.96,4.8,91.1928124333333
7,9ebfb2c2c6f26e56d4e58172086457ee,65ded5353c5ee48d0b7d48c591b8f430,1.0900374893159424,69debe23bf3158b626d953f353807dba,True,M,41,0.8813,1.0,0.84,4.72,91.3927571
8,6e9af6b67dae25e7c355322cd6ae973f,65ded5353c5ee48d0b7d48c591b8f430,1.9311410293378932,1a2823aad9c23952cf65c2dbebc05de0,True,I,32,0.867,1.33,0.96,4.84,55.9144366333333
10,f1ac598a581d50e26b45596d8d47e98f,65ded5353c5ee48d0b7d48c591b8f430,1.5109808851616913,9b78abe832af77d35faecc1727686522,True,T,26,0.8671,2.5,1.0,5.0,112.457474016667
12,186978dfcc1b47f9217630e9e5dd89ad,65ded5353c5ee48d0b7d48c591b8f430,2.588974074426291,8e309d8a3a42dd1c4266ff975b0b40db,False,I,9,0.8761,1.5,0.92,5.0,76.7102264333333
13,3e935df21df6d5f768223357e5112748,65ded5353c5ee48d0b7d48c591b8f430,1.8001074406724884,ee14d05eeebd6b9fc39f4d948e27ee95,True,I,20,0.8827,1.5,1.0,4.44,72.0436499333333
15,382e96addc21274f4e66d3f7df92a756,65ded5353c5ee48d0b7d48c591b8f430,1.1617690285896332,a3db9e09156493915b214e7076ff8df3,False,M,25,0.8205,1.58,0.8,4.92,70.2145618166667
17,fdd041b27186b00dd75320368d3e4f04,65ded5353c5ee48d0b7d48c591b8f430,0.6660497408167557,3f7df16ba0ead4bd3994a3960d361f71,False,I,61,0.8447,1.41,0.88,4.92,150.643085383333
18,f0c372a4aaa7a0f698f8cefd6287b0cc,65ded5353c5ee48d0b7d48c591b8f430,2.521286535174047,75d5804629c21013d43c315abe71e581,False,I,10,0.8707,1.31,0.96,4.68,110.394378333333
19,e5dc1ae5c6a86b90c114708c87e6e81f,65ded5353c5ee48d0b7d48c591b8f430,4.002886132212674,db92db1bb21853775cf63ceb298a27e4,False,I,31,0.8885,0.91,0.96,4.84,96.8696819833333
20,8b8a4619e4bd54a85df44c269fd757cc,65ded5353c5ee48d0b7d48c591b8f430,0.7166898147788628,543cd65cfb5064a2cd6b1df5d13b1d69,True,T,16,0.8143,4.0,1.0,4.86,122.913168616667
21,e3b9c523a6e85cf695dcb5979655faed,65ded5353c5ee48d0b7d48c591b8f430,1.7883592706495068,aa7f777e33f0f547d4028e199d054998,False,M,42,0.8596,1.68,0.8,4.84,87.7623092333333
22,523cc5c512901ae9d215d4806747d84b,65ded5353c5ee48d0b7d48c591b8f430,1.6872455384437723,5e506e8f690975eb5902535b4cc0157a,False,I,51,0.7984,1.62,0.92,4.84,111.9105756
23,287b12b085a7a40209270befbd1fdda4,65ded5353c5ee48d0b7d48c591b8f430,3.4583501503344607,dc12a3b3f47b519eb57f089bc664fc47,False,I,56,0.8869,0.93,0.96,5.0,105.2255549
25,db06960c3c1a2c7585221f338f17715a,65ded5353c5ee48d0b7d48c591b8f430,2.802508432468874,455e08c3ea1421edc6cd24efa37141a3,False,T,24,0.8506,0.95,1.0,4.88,70.4026137333333
27,ad8e72ecd4bd1239d9e5060bac5df334,65ded5353c5ee48d0b7d48c591b8f430,2.4840578534929088,e8d8877c3ee964b8e22d9c590887f1b4,False,M,56,0.758,1.65,0.8,4.44,157.640352433333
28,4c2a2cdcbfa8177517d39c1e38e96349,65ded5353c5ee48d0b7d48c591b8f430,0.7570456640167486,fcc3dd19cdc7bbe35dab6277b5ce9493,False,I,15,0.839,1.7,0.92,4.92,99.9107554333333
29,640a5251cdc155fd80c41dfa64605801,65ded5353c5ee48d0b7d48c591b8f430,1.0219164116832116,1236aeaa60141769d451038e9fa5baa2,False,I,33,0.8199,1.75,0.88,4.88,128.908248133333
30,4a788a8c671d09c674b672289af7bb00,65ded5353c5ee48d0b7d48c591b8f430,1.7587310699910002,2ad35a5d5c746e1b47133defbdadcfe7,False,M,23,0.8578,2.37,0.84,4.92,88.3494798333333
31,5984c9cd108667e7b8d3423d47688c97,65ded5353c5ee48d0b7d48c591b8f430,1.6350363639406178,51ff13407538cb1acebf7132088b572f,False,I,6,0.8544,0.83,0.96,5.0,98.1614682
33,89b61c7c2b12a0320c0a508705cbb734,65ded5353c5ee48d0b7d48c591b8f430,1.643390969910753,026229d08139f0417381715cf4818bfb,False,I,26,0.8523,1.17,0.96,4.96,58.1904201833333
